"V1" "V2" "V3" "V4" "V5"
"402" "267571" "111" "2571" "5e+06" "N2_RNAi1_star2"
"403" "267512" "109" "2557" "5e+06" "N2_RNAi1_star2"
"404" "267269" "109" "2552" "5e+06" "N2_RNAi1_star2"
"405" "267572" "104" "2552" "5e+06" "N2_RNAi1_star2"
"406" "22021" "13" "387" "50000" "N2_RNAi2_star2"
"407" "21806" "19" "430" "50000" "N2_RNAi2_star2"
"408" "21886" "19" "414" "50000" "N2_RNAi2_star2"
"409" "21850" "18" "442" "50000" "N2_RNAi2_star2"
"410" "21956" "14" "437" "50000" "N2_RNAi2_star2"
"411" "21941" "12" "422" "50000" "N2_RNAi2_star2"
"412" "21960" "13" "434" "50000" "N2_RNAi2_star2"
"413" "22107" "13" "426" "50000" "N2_RNAi2_star2"
"414" "21919" "14" "423" "50000" "N2_RNAi2_star2"
"415" "21806" "13" "431" "50000" "N2_RNAi2_star2"
"416" "21921" "15" "424" "50000" "N2_RNAi2_star2"
"417" "21751" "16" "447" "50000" "N2_RNAi2_star2"
"418" "21905" "14" "466" "50000" "N2_RNAi2_star2"
"419" "21906" "15" "419" "50000" "N2_RNAi2_star2"
"420" "21903" "15" "409" "50000" "N2_RNAi2_star2"
"421" "36957" "23" "652" "1e+05" "N2_RNAi2_star2"
"422" "36826" "21" "652" "1e+05" "N2_RNAi2_star2"
"423" "36864" "18" "630" "1e+05" "N2_RNAi2_star2"
"424" "37020" "19" "654" "1e+05" "N2_RNAi2_star2"
"425" "36922" "16" "638" "1e+05" "N2_RNAi2_star2"
"426" "36679" "20" "646" "1e+05" "N2_RNAi2_star2"
"427" "36849" "25" "643" "1e+05" "N2_RNAi2_star2"
"428" "36924" "24" "629" "1e+05" "N2_RNAi2_star2"
"429" "36788" "21" "635" "1e+05" "N2_RNAi2_star2"
"430" "36908" "22" "627" "1e+05" "N2_RNAi2_star2"
"431" "37060" "20" "650" "1e+05" "N2_RNAi2_star2"
"432" "37125" "24" "647" "1e+05" "N2_RNAi2_star2"
"433" "36945" "19" "615" "1e+05" "N2_RNAi2_star2"
